Variety,Type_Family,Temp_Germ_F,Temp_Grow_F,Humidity_Percent,Tray_Size,Seed_Qty_g_10x20,Soak_Hours,Blackout_Days,Germ_Days,Harvest_Days,Light_Hours,Notes
Amaranth (Garnet/Red),Amaranthaceae,70 to 80,75,60 to 70,10x20,7.5,8 to 12,0-Jan,2 to 3,17-Jan,5 to 6,Popular in India (Rajgira); warm-loving; microgreens harvest ~17 days
Arugula (Slow Bolt),Brassicaceae,60 to 70,65 to 75,60,10x20,10,4 to 6,0-Jan,2 to 3,10 to 14,6+,Peppery flavor; staple microgreen; prefers indirect light
Basil (Genovese),Lamiaceae,70 to 75,65 to 70,50 to 60,10x20,6-Jan,0,0-Jan,4 to 6,19-Jan,6+,Mild aromatic basil; common in mixes
Basil (Red Rubin),Lamiaceae,70 to 75,65 to 70,50 to 60,10x20,6,0,0-Jan,5 to 7,25 to 26,6+,Purple basil; decorative; slower growth
Basil (Dark Opal),Lamiaceae,70 to 75,65 to 70,50 to 60,10x20,5,0,0-Jan,5 to 7,25 to 26,6+,Dark purple leaves; strong visual appeal
Beet (Bull’s Blood),Amaranthaceae,60 to 70,60 to 70,60,10x20,23,6 to 12,0-Jan,5 to 10,17-Jan,6+,Earthy flavor; colorful stems
Buckwheat (Organic),Polygonaceae,70 to 75,70 to 80,60 to 70,10x20,100,4 to 8,3 to 5,1 to 2,8 to 12,6 to 8,"Fast, tangy microgreen; high yield"
Broccoli (Waltham 29),Brassicaceae,65 to 75,65 to 75,50 to 60,10x20,15,0,2 to 3,2 to 3,8 to 12,6+,Top global seller; easy and reliable
Buck Choi (Red Pac Choi),Brassicaceae,65 to 75,60 to 70,60,10x20,10.5,0,2 to 3,2 to 3,13-Jan,6+,Red stems; fast growing
Carrot (Improved Nantes),Apiaceae,65 to 70,60 to 65,60,10x20,15 to 20,4 to 12,0 to 1,3 to 7,12 to 17,6+,Slow and uneven germination; niche demand
Cabbage (Red Acre),Brassicaceae,60 to 70,60 to 70,60,10x20,15 to 20,0,2 to 3,1 to 2,10-Jan,6+,Mild flavor; good color in red varieties
Celery,Apiaceae,65 to 75,65 to 75,80 to 90,10x20,15 to 20,0,4 to 5,7 to 14,21 to 35,6+,Slow growing; strong celery flavor
Chia,Lamiaceae (Salvia),70 to 80,70 to 80,60,10x20,12 to 15,0,3 to 5,2 to 3,8 to 12,6 to 8,Sticky seeds; low commercial demand
Chive / Green Onion,Amaryllidaceae,65 to 75,60 to 70,60,10x20,45,0,6-Jan,7 to 14,21-Jan,6+,Onion flavor; slow but unique
Cilantro (Slow Bolt),Apiaceae,65 to 70,65 to 70,60 to 70,10x20,26,4 to 6,0-Jan,7 to 10,20-Jan,6+,High demand; slow germination
Fenugreek (Methi),Fabaceae,70 to 75,60 to 70,60,10x20,15 to 20,6 to 8,0-Jan,3 to 5,5 to 7,6+,Extremely popular in India; fast ROI
Kale (Red Russian),Brassicaceae,65 to 75,65 to 75,50 to 60,10x20,10,0,0-Jan,2 to 3,13 to 14,6+,Mild base green; good yield
Kohlrabi (Purple),Brassicaceae,65 to 75,65 to 75,50 to 60,10x20,9.5,0,0-Jan,4 to 6,16-Jan,6+,Sweet and colorful stems
Marigold (Gem),Asteraceae,65 to 75,65 to 75,50 to 60,10x20,4,0,0-Jan,3 to 4,18-Jan,6+,Edible flower microgreen
Mizuna,Brassicaceae,65 to 75,65 to 75,50 to 60,10x20,9.5,0,0-Jan,2 to 3,12-Jan,6+,Mild mustard flavor
Mustard (Garnet Giant),Brassicaceae,65 to 75,65 to 75,50 to 60,10x20,8,0,0,2 to 4,12 to 13,6+,Spicy red leaves; popular in blends
Pac Choi (Green),Brassicaceae,65 to 75,60 to 70,60,10x20,10.5,0,2 to 3,2 to 4,13,6+,Asian cuisine staple
Radish (Daikon / Hong Vit),Brassicaceae,60 to 70,60 to 70,60 to 70,10x20,22 to 28,0,0,2 to 3,8 to 9,6+,Fastest grower; top seller
Shiso (Britton),Lamiaceae,65 to 75,65 to 75,60,10x20,11.5,0,0,5 to 7,16,6+,Asian herb; minty flavor
Sorrel (Red Veined),Polygonaceae,65 to 75,60 to 70,60,10x20,3.5,0,0,5 to 7,24,6+,Lemon-tangy; slow but premium
Sunflower (Black Oil),Asteraceae,75 to 80,75 to 80,70 to 80,10x20,50,6 to 12,4 to 6,2 to 3,8 to 12,6+,Crunchy; chef favorite
Swiss Chard (Bright Lights),Amaranthaceae,65 to 70,65 to 75,70 to 80,10x20,31.5,4 to 8,4 to 5,3 to 4,16 to 17,6+,Colorful stems; garnish use
Tatsoi (Green),Brassicaceae,60 to 70,60 to 70,60,10x20,7.5,0,0,3 to 5,13 to 14,6+,Soft texture; mild mustard
Tomato (Hybrid),Solanaceae,70 to 75,65 to 75,60,10x20,30 to 40 seeds,8 to 12,0,5 to 7,21+,6+,Not recommended as microgreen; listed for completeness
Wheatgrass,Poaceae,70 to 75,65 to 75,60,10x20,450,4 to 8,2,2 to 3,8 to 10,12,Juice crop; very dense sowing
