S.No,Crop,Seed Weight (gm),Soaking Time,Sprout Time,Growth Time (Days),Harvest Weight (gm),Nutritional Benefits,Suitable For (Pros),Not Suitable For (Cons),Seed,Link 1,Link 1 Description,Link 2,Link 2 Description,Link 3,Link 3 Description
1,Bean Greens,5,8 to 12 hrs,4 to 6 days,30 to 50,150 to 250,"Vitamins A/C/K, folate, fiber; aids digestion, immunity.","General health, digestion support; all ages.",Rare legume allergy; excess gas.,Bean Greens,https://pmc.ncbi.nlm.nih.gov/articles/PMC7915747/,Health Benefits of Plant-Based Nutrition: Focus on Beans in Cardiometabolic Diseases,https://www.researchgate.net/profile/Savita-Chaurasia/publication/343648502_Green_Beans/links/5f35f328a6fdcccc43c6921c/Green-Beans.pdf,Green beans - diuretic effects and health benefits,https://www.sciencedirect.com/science/article/abs/pii/S2214799317301923,Beans (Phaseolus vulgaris L.): nutritional and therapeutic purposes
2,Red Amaranthus,20,4 to 8 hrs,2 to 3 days,30 to 50,150 to 250,"High iron, vitamin C, antioxidants; anti-anemia, heart health.","Anemia-prone, vegans; boosts energy.",Oxalates may affect kidney stones if overconsumed.,Red Amaranthus,https://pmc.ncbi.nlm.nih.gov/articles/PMC8871380/,The Dual Nature of Amaranth—Functional Food and Potential Medicine,https://www.sciencedirect.com/science/article/pii/S1756464619306590,Nutraceutical value of kiwicha (Amaranthus caudatus L.),https://www.researchgate.net/publication/385557431_Red_Amaranths_Nutrient_Powerhouse_for_a_Healthy_Life,Red Amaranths: Nutrient Powerhouse for a Healthy Life
3,Amaranth,20,4 to 8 hrs,2 to 3 days,30 to 50,150 to 250,"Protein, magnesium, lysine; muscle repair, bone health.","Athletes, gluten-free diets.",Digestive upset if new to high-fiber.,Amaranth,https://pmc.ncbi.nlm.nih.gov/articles/PMC8871380/,The Dual Nature of Amaranth—Functional Food and Potential Medicine,https://www.sciencedirect.com/science/article/pii/S1756464619306590,Nutraceutical value of kiwicha (Amaranthus caudatus L.),https://www.maxapress.com/data/article/tp/preview/pdf/tp-0024-0037.pdf,The rise of amaranth as a climate-resilient superfood
4,Chia / Sabja,10 to 20,4 to 8 hrs,2 to 3 days,8 to 12,150 to 250,"Omega-3s, calcium, fiber; heart, bone support.","Heart patients, weight loss.",Choking risk if dry; blood thinner interactions.,Chia / Sabja,https://pmc.ncbi.nlm.nih.gov/articles/PMC9834868/,Chia seeds: A therapeutic weapon in metabolic disorders,https://pmc.ncbi.nlm.nih.gov/articles/PMC4926888/,Nutritional and therapeutic perspectives of Chia,https://www.sciencedirect.com/science/article/pii/S1756464623000804,Health-promoting approaches of the use of chia seeds
5,Onion,20,3 days,3 days,14 to 21,100,"Quercetin, vitamin C; anti-inflammatory, immune boost.","Cold prevention, arthritis.",Acid reflux aggravation; raw may irritate stomach.,Onion,https://www.sciencedirect.com/science/article/pii/S1756464625002312,Onion nutritional and nutraceutical composition and therapeutic properties,https://pmc.ncbi.nlm.nih.gov/articles/PMC8339303/,Recent Advances in Bioactive Compounds,https://www.researchgate.net/publication/353377128_Sprouting_enhances_phytonutrients_and_antioxidants_in_onion_seeds,
6,Black Cumin,20 to 30,3 days,3 days,24,30 to 80,"Thymoquinone, antioxidants; anti-cancer, allergy relief.","Immune disorders, diabetes.",Liver/kidney issues in high doses; pregnant avoid.,Black Cumin,https://pmc.ncbi.nlm.nih.gov/articles/PMC8225153/,Black Cumin (Nigella sativa L.): Comprehensive Review on Health Benefits,https://pmc.ncbi.nlm.nih.gov/articles/PMC5633670/,Review on Clinical Trials of Black Seed and Thymoquinone,https://journals.lww.com/nutritiontodayonline/fulltext/2022/11000/black_seeds__potential_health_benefits.9.aspx,Black Seeds: Potential Health Benefits
7,Sesame,30,8 hrs,3 to 5 days,7,250 to 300,"Calcium, iron, sesamin; bone health, cholesterol control.","Osteoporosis, anemia.",Sesame allergy (common); excess calories.,Sesame,https://pmc.ncbi.nlm.nih.gov/articles/PMC9573514/,Sesame: Comprehensive Review of Nutritional Value and Health Benefits,https://journals.lww.com/nutritiontodayonline/fulltext/2022/09000/sesame__potential_health_benefits.9.aspx,Sesame: Potential Health Benefits,https://www.mdpi.com/2304-8158/13/8/1153,Sesame Seeds: A Nutrient-Rich Superfood
8,Mustard,30,8 hrs,2 to 3 days,6 to 7,200 to 300,"Glucosinolates, vitamin K; detox, cancer prevention.","Detox diets, bone health.",Thyroid interference if raw/excess; GI upset.,Mustard,https://pmc.ncbi.nlm.nih.gov/articles/PMC9459965/,Glucosinolates and Omega-3 from Mustard Seeds: Pharmacology,https://ift.onlinelibrary.wiley.com/doi/full/10.1111/1750-3841.70653,An Overview of Black Mustard: Nutritional Composition and Health Benefits,https://www.tandfonline.com/doi/full/10.1080/87559129.2021.2015774,Mustard Seeds as a Bioactive Component of Food
9,Radish (Purple),30,4 to 8 hrs,1 to 2 days,7,200 to 300,"Vitamin C, sulforaphane; liver detox, anti-cancer.","Weight loss, skin health.",Gallbladder issues; raw may cause belching.,Radish (Purple),https://pmc.ncbi.nlm.nih.gov/articles/PMC11643240/,Effect of Light Colours on Radish Seeds Metabolism and Germination,https://www.mdpi.com/1420-3049/30/14/2976,Bioactive Properties of Radish Microgreens,https://www.sciencedirect.com/science/article/pii/S1756464621000177,Extract of radish promotes anti-atherosclerotic effect
10,Cabbage,30,8 hrs,1 to 2 days,7,150 to 200,"Vitamin K/C, fiber; gut health, anti-ulcer.","Digestion, immunity.",Hypothyroidism (goitrogens); bloating.,Cabbage,https://pmc.ncbi.nlm.nih.gov/articles/PMC6109504/,Cabbage Protects against Oxidative Stress in Rat Hearts,https://www.sciencedirect.com/science/article/abs/pii/B9780123756886101379,White Cabbage Seeds and Their Health-Promoting Activities,https://pmc.ncbi.nlm.nih.gov/articles/PMC10938656/,Comparative study of quality indices in celery and cabbage
11,Cauliflower,30,8 hrs,1 to 2 days,7,150 to 200,"Sulforaphane, vitamin C; brain health, detox.","Neuroprotection, cancer risk reduction.",Gas; thyroid issues if raw.,Cauliflower,https://pmc.ncbi.nlm.nih.gov/articles/PMC3793502/,Bioactive Compounds and Antioxidant Activity of Cauliflower,https://www.researchgate.net/publication/390084009_Anthocyanins_in_Purple_Cauliflower_Genetic_Mechanism_Biosynthesis_and_Health_Benefits_A_Review,Anthocyanins in Purple Cauliflower: Health Benefits,https://agrifoodscience.com/index.php/TURJAF/article/view/7065,Nutrition and Antioxidant Potential of Cauliflower Cultivars
12,Palak,30,2 days,2 days,14,30 to 50,"Iron, vitamins A/K, folate; anemia, eye health.","Pregnant, vegetarians.",Oxalates; blood thinner caution.,Palak,https://pmc.ncbi.nlm.nih.gov/articles/PMC11923199/,Response of amino acids in spinach seedlings to salt stress,https://www.thepharmajournal.com/archives/2022/vol11issue8S/PartP/S-11-8-47-875.pdf,Spinach and its health benefits: A review,https://www.researchgate.net/figure/Nutritional-value-of-water-spinach-Indian-palak-and-spinach-per-100-g-of-raw_tbl1_359618104,Nutritional value of palak and spinach
13,Beetroot,30,2 hrs,2 days,7,50,"Folate, nitrates; blood pressure, stamina.","Athletes, hypertension.",Low BP risk.,Beetroot,https://pmc.ncbi.nlm.nih.gov/articles/PMC8565237/,Beetroot as a functional food with huge health benefits,https://www.researchgate.net/publication/359864724_An_Analysis_of_Health_Benefits_of_Beetroot,An Analysis of Health Benefits of Beetroot,https://www.mdpi.com/2076-3417/13/13/7445,Old-Fashioned but Still a Superfood—Red Beets
14,Fenugreek,40,8 hrs,2 to 3 days,10 to 12,300 to 400,"Fiber, iron; blood sugar control, lactation.","Diabetics, nursing mothers.",Pregnant avoid.,Fenugreek,https://pmc.ncbi.nlm.nih.gov/articles/PMC11016425/,The multifaceted potential of fenugreek seeds,https://www.sciencedirect.com/science/article/pii/S1658077X15301065,Fenugreek: A review on nutraceutical properties,https://pmc.ncbi.nlm.nih.gov/articles/PMC10054907/,Fenugreek and Its Effects on Muscle Performance
15,Dew Gram,40,8 hrs,4 to 6 days,5 to 7,250 to 350,"Protein, vitamins B/C; energy, digestion.","Vegans, muscle building.",Legume allergy.,Dew Gram,https://onlinelibrary.wiley.com/doi/full/10.1002/leg3.204,A narrative review on moth bean nutritional and health benefits,https://pmc.ncbi.nlm.nih.gov/articles/PMC10279967/,Moth bean: a minor legume with major potential,https://link.springer.com/article/10.1007/s44187-022-00019-3,Moth bean seeds: nutritional properties and health benefits
16,Sunflower,70,24 hrs,5 to 7 days,6 to 7,300 to 400,"Vitamin E, selenium; antioxidant.","Skin, heart health.",High calorie.,Sunflower,https://pmc.ncbi.nlm.nih.gov/articles/PMC5622016/,Phytochemistry and medicinal uses of sunflower seed and sprouts,https://www.sciencedirect.com/science/article/abs/pii/S2949824425001454,Nutritional,https://www.lidsen.com/journals/rpn/rpn-03-03-010, and health benefits of sunflower seeds
17,Wheat,90,12 hrs,24 hrs,7 to 9,100 to 200,"B vitamins, fiber; energy.","Fatigue, constipation.",Gluten intolerance.,Wheat,https://pmc.ncbi.nlm.nih.gov/articles/PMC4998136/,The contribution of wheat to human diet and health,https://www.sciencedirect.com/science/article/pii/B978044332920300001X,Novel seeds and grains: unlocking nutritional potential,https://www.frontiersin.org/journals/nutrition/articles/10.3389/fnut.2023.1053196/full,Wheat quality: chemical composition and nutritional attributes
18,Mixed Grams,70,8 hrs,2 to 4 days,5 to 7,350 to 450,Balanced proteins & vitamins.,General wellness.,Allergy risk.,Mixed Grams,https://pmc.ncbi.nlm.nih.gov/articles/PMC11167195/,Garden cress seeds: nutritional composition and therapeutic potential,https://www.sciencedirect.com/science/article/pii/S0308814622028424,Mixing chia seeds and sprouts for antioxidant vitamins,https://pmc.ncbi.nlm.nih.gov/articles/PMC9776667/,Consumption of Nuts and Seeds and Health Outcomes
