seed_type,seed_name,difficulty,base_yield,growth_days,ideal_temp,ideal_humidity,avg_temp,avg_humidity,temp_deviation,humidity_deviation,watering_consistency,temp_stress_days,humidity_stress_days,missed_watering_days,max_temp,min_temp,max_humidity,min_humidity,latest_height,latest_density,avg_height,avg_density,final_yield,yield_efficiency,daily_logs_json
palak,Palak,Medium,30.0,14,22.0,50.0,22.16,49.99,2.07,4.84,0.93,2,1,1,32.6,15.0,59.6,34.1,6.94,0.839,3.74,0.486,9.0,0.3,"[{""day"": 1, ""temperature"": 21.5, ""humidity"": 57.4, ""watered"": true, ""canopy_height"": 0.51, ""canopy_density"": 0.16, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 22.3, ""humidity"": 50.2, ""watered"": true, ""canopy_height"": 0.64, ""canopy_density"": 0.225, ""phase"": ""blackout""}, {""day"": 3, ""temperature"": 19.3, ""humidity"": 44.9, ""watered"": true, ""canopy_height"": 1.1, ""canopy_density"": 0.187, ""phase"": ""light""}, {""day"": 4, ""temperature"": 23.0, ""humidity"": 48.2, ""watered"": true, ""canopy_height"": 1.5, ""canopy_density"": 0.271, ""phase"": ""light""}, {""day"": 5, ""temperature"": 21.6, ""humidity"": 53.1, ""watered"": true, ""canopy_height"": 1.93, ""canopy_density"": 0.248, ""phase"": ""light""}, {""day"": 6, ""temperature"": 24.3, ""humidity"": 51.5, ""watered"": true, ""canopy_height"": 3.31, ""canopy_density"": 0.416, ""phase"": ""light""}, {""day"": 7, ""temperature"": 22.9, ""humidity"": 52.7, ""watered"": true, ""canopy_height"": 3.83, ""canopy_density"": 0.574, ""phase"": ""light""}, {""day"": 8, ""temperature"": 32.6, ""humidity"": 57.0, ""watered"": true, ""canopy_height"": 2.59, ""canopy_density"": 0.399, ""phase"": ""light""}, {""day"": 9, ""temperature"": 20.3, ""humidity"": 48.3, ""watered"": true, ""canopy_height"": 5.42, ""canopy_density"": 0.684, ""phase"": ""light""}, {""day"": 10, ""temperature"": 15.0, ""humidity"": 34.1, ""watered"": false, ""canopy_height"": 4.56, ""canopy_density"": 0.545, ""phase"": ""light""}, {""day"": 11, ""temperature"": 21.8, ""humidity"": 52.3, ""watered"": true, ""canopy_height"": 6.6, ""canopy_density"": 0.668, ""phase"": ""light""}, {""day"": 12, ""temperature"": 22.5, ""humidity"": 46.8, ""watered"": true, ""canopy_height"": 6.51, ""canopy_density"": 0.736, ""phase"": ""light""}, {""day"": 13, ""temperature"": 21.9, ""humidity"": 43.8, ""watered"": true, ""canopy_height"": 6.95, ""canopy_density"": 0.853, ""phase"": ""light""}, {""day"": 14, ""temperature"": 21.2, ""humidity"": 59.6, ""watered"": true, ""canopy_height"": 6.94, ""canopy_density"": 0.839, ""phase"": ""light""}]"
amaranth,Amaranth,Medium,150.0,30,22.0,50.0,22.16,49.82,1.02,3.97,1.0,1,0,0,25.7,19.4,61.9,41.8,7.57,0.849,3.77,0.514,114.6,0.764,"[{""day"": 1, ""temperature"": 23.0, ""humidity"": 47.3, ""watered"": true, ""canopy_height"": 0.1, ""canopy_density"": 0.133, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 22.7, ""humidity"": 47.4, ""watered"": true, ""canopy_height"": 0.1, ""canopy_density"": 0.108, ""phase"": ""blackout""}, {""day"": 3, ""temperature"": 21.3, ""humidity"": 41.8, ""watered"": true, ""canopy_height"": 0.24, ""canopy_density"": 0.185, ""phase"": ""light""}, {""day"": 4, ""temperature"": 21.1, ""humidity"": 53.7, ""watered"": true, ""canopy_height"": 0.36, ""canopy_density"": 0.244, ""phase"": ""light""}, {""day"": 5, ""temperature"": 23.7, ""humidity"": 50.6, ""watered"": true, ""canopy_height"": 0.36, ""canopy_density"": 0.231, ""phase"": ""light""}, {""day"": 6, ""temperature"": 22.6, ""humidity"": 55.1, ""watered"": true, ""canopy_height"": 0.3, ""canopy_density"": 0.373, ""phase"": ""light""}, {""day"": 7, ""temperature"": 21.9, ""humidity"": 50.2, ""watered"": true, ""canopy_height"": 0.52, ""canopy_density"": 0.28, ""phase"": ""light""}, {""day"": 8, ""temperature"": 23.7, ""humidity"": 45.5, ""watered"": true, ""canopy_height"": 0.43, ""canopy_density"": 0.384, ""phase"": ""light""}, {""day"": 9, ""temperature"": 19.4, ""humidity"": 47.3, ""watered"": true, ""canopy_height"": 0.16, ""canopy_density"": 0.351, ""phase"": ""light""}, {""day"": 10, ""temperature"": 22.8, ""humidity"": 55.3, ""watered"": true, ""canopy_height"": 0.72, ""canopy_density"": 0.329, ""phase"": ""light""}, {""day"": 11, ""temperature"": 22.0, ""humidity"": 42.3, ""watered"": true, ""canopy_height"": 1.02, ""canopy_density"": 0.51, ""phase"": ""light""}, {""day"": 12, ""temperature"": 21.9, ""humidity"": 45.7, ""watered"": true, ""canopy_height"": 1.06, ""canopy_density"": 0.421, ""phase"": ""light""}, {""day"": 13, ""temperature"": 20.2, ""humidity"": 51.6, ""watered"": true, ""canopy_height"": 2.05, ""canopy_density"": 0.421, ""phase"": ""light""}, {""day"": 14, ""temperature"": 21.7, ""humidity"": 42.5, ""watered"": true, ""canopy_height"": 2.83, ""canopy_density"": 0.486, ""phase"": ""light""}, {""day"": 15, ""temperature"": 21.0, ""humidity"": 61.9, ""watered"": true, ""canopy_height"": 3.93, ""canopy_density"": 0.501, ""phase"": ""light""}, {""day"": 16, ""temperature"": 20.5, ""humidity"": 47.5, ""watered"": true, ""canopy_height"": 4.3, ""canopy_density"": 0.536, ""phase"": ""light""}, {""day"": 17, ""temperature"": 21.4, ""humidity"": 52.1, ""watered"": true, ""canopy_height"": 5.68, ""canopy_density"": 0.595, ""phase"": ""light""}, {""day"": 18, ""temperature"": 20.1, ""humidity"": 46.8, ""watered"": true, ""canopy_height"": 6.15, ""canopy_density"": 0.592, ""phase"": ""light""}, {""day"": 19, ""temperature"": 21.4, ""humidity"": 51.3, ""watered"": true, ""canopy_height"": 6.62, ""canopy_density"": 0.575, ""phase"": ""light""}, {""day"": 20, ""temperature"": 25.7, ""humidity"": 58.9, ""watered"": true, ""canopy_height"": 5.05, ""canopy_density"": 0.446, ""phase"": ""light""}, {""day"": 21, ""temperature"": 23.6, ""humidity"": 45.5, ""watered"": true, ""canopy_height"": 6.99, ""canopy_density"": 0.692, ""phase"": ""light""}, {""day"": 22, ""temperature"": 23.7, ""humidity"": 50.5, ""watered"": true, ""canopy_height"": 3.92, ""canopy_density"": 0.497, ""phase"": ""light""}, {""day"": 23, ""temperature"": 21.5, ""humidity"": 44.1, ""watered"": true, ""canopy_height"": 7.59, ""canopy_density"": 0.765, ""phase"": ""light""}, {""day"": 24, ""temperature"": 23.4, ""humidity"": 51.9, ""watered"": true, ""canopy_height"": 7.3, ""canopy_density"": 0.842, ""phase"": ""light""}, {""day"": 25, ""temperature"": 22.1, ""humidity"": 45.6, ""watered"": true, ""canopy_height"": 7.71, ""canopy_density"": 0.742, ""phase"": ""light""}, {""day"": 26, ""temperature"": 21.7, ""humidity"": 48.4, ""watered"": true, ""canopy_height"": 7.79, ""canopy_density"": 0.786, ""phase"": ""light""}, {""day"": 27, ""temperature"": 22.4, ""humidity"": 58.0, ""watered"": true, ""canopy_height"": 7.53, ""canopy_density"": 0.843, ""phase"": ""light""}, {""day"": 28, ""temperature"": 22.0, ""humidity"": 51.0, ""watered"": true, ""canopy_height"": 7.17, ""canopy_density"": 0.808, ""phase"": ""light""}, {""day"": 29, ""temperature"": 24.0, ""humidity"": 50.3, ""watered"": true, ""canopy_height"": 7.63, ""canopy_density"": 0.894, ""phase"": ""light""}, {""day"": 30, ""temperature"": 22.2, ""humidity"": 54.4, ""watered"": true, ""canopy_height"": 7.57, ""canopy_density"": 0.849, ""phase"": ""light""}]"
red-amaranthus,Red Amaranthus,Medium,150.0,30,22.0,50.0,21.84,49.94,1.34,4.54,0.97,1,2,1,24.2,18.9,68.2,34.6,6.4,0.791,3.81,0.51,64.4,0.429,"[{""day"": 1, ""temperature"": 20.7, ""humidity"": 51.4, ""watered"": true, ""canopy_height"": 0.1, ""canopy_density"": 0.157, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 24.2, ""humidity"": 55.7, ""watered"": true, ""canopy_height"": 0.1, ""canopy_density"": 0.065, ""phase"": ""blackout""}, {""day"": 3, ""temperature"": 21.6, ""humidity"": 51.0, ""watered"": true, ""canopy_height"": 0.1, ""canopy_density"": 0.102, ""phase"": ""light""}, {""day"": 4, ""temperature"": 22.1, ""humidity"": 46.9, ""watered"": true, ""canopy_height"": 0.1, ""canopy_density"": 0.238, ""phase"": ""light""}, {""day"": 5, ""temperature"": 21.1, ""humidity"": 45.0, ""watered"": true, ""canopy_height"": 0.13, ""canopy_density"": 0.214, ""phase"": ""light""}, {""day"": 6, ""temperature"": 24.1, ""humidity"": 52.8, ""watered"": true, ""canopy_height"": 0.22, ""canopy_density"": 0.314, ""phase"": ""light""}, {""day"": 7, ""temperature"": 18.9, ""humidity"": 50.7, ""watered"": true, ""canopy_height"": 0.1, ""canopy_density"": 0.39, ""phase"": ""light""}, {""day"": 8, ""temperature"": 23.7, ""humidity"": 50.9, ""watered"": true, ""canopy_height"": 0.21, ""canopy_density"": 0.353, ""phase"": ""light""}, {""day"": 9, ""temperature"": 22.2, ""humidity"": 41.6, ""watered"": true, ""canopy_height"": 0.42, ""canopy_density"": 0.407, ""phase"": ""light""}, {""day"": 10, ""temperature"": 21.5, ""humidity"": 50.5, ""watered"": true, ""canopy_height"": 0.66, ""canopy_density"": 0.356, ""phase"": ""light""}, {""day"": 11, ""temperature"": 23.1, ""humidity"": 43.1, ""watered"": true, ""canopy_height"": 0.78, ""canopy_density"": 0.213, ""phase"": ""light""}, {""day"": 12, ""temperature"": 21.3, ""humidity"": 44.1, ""watered"": true, ""canopy_height"": 1.37, ""canopy_density"": 0.394, ""phase"": ""light""}, {""day"": 13, ""temperature"": 22.1, ""humidity"": 48.6, ""watered"": true, ""canopy_height"": 1.8, ""canopy_density"": 0.53, ""phase"": ""light""}, {""day"": 14, ""temperature"": 22.8, ""humidity"": 53.6, ""watered"": true, ""canopy_height"": 2.42, ""canopy_density"": 0.542, ""phase"": ""light""}, {""day"": 15, ""temperature"": 22.8, ""humidity"": 48.6, ""watered"": true, ""canopy_height"": 4.06, ""canopy_density"": 0.536, ""phase"": ""light""}, {""day"": 16, ""temperature"": 19.8, ""humidity"": 59.7, ""watered"": true, ""canopy_height"": 3.79, ""canopy_density"": 0.452, ""phase"": ""light""}, {""day"": 17, ""temperature"": 19.9, ""humidity"": 52.4, ""watered"": true, ""canopy_height"": 5.68, ""canopy_density"": 0.512, ""phase"": ""light""}, {""day"": 18, ""temperature"": 21.6, ""humidity"": 54.1, ""watered"": true, ""canopy_height"": 6.19, ""canopy_density"": 0.595, ""phase"": ""light""}, {""day"": 19, ""temperature"": 22.9, ""humidity"": 52.1, ""watered"": true, ""canopy_height"": 7.01, ""canopy_density"": 0.652, ""phase"": ""light""}, {""day"": 20, ""temperature"": 22.4, ""humidity"": 48.9, ""watered"": true, ""canopy_height"": 7.15, ""canopy_density"": 0.646, ""phase"": ""light""}, {""day"": 21, ""temperature"": 21.5, ""humidity"": 54.1, ""watered"": true, ""canopy_height"": 7.37, ""canopy_density"": 0.698, ""phase"": ""light""}, {""day"": 22, ""temperature"": 19.0, ""humidity"": 54.5, ""watered"": true, ""canopy_height"": 7.41, ""canopy_density"": 0.739, ""phase"": ""light""}, {""day"": 23, ""temperature"": 23.7, ""humidity"": 55.6, ""watered"": true, ""canopy_height"": 7.66, ""canopy_density"": 0.687, ""phase"": ""light""}, {""day"": 24, ""temperature"": 20.7, ""humidity"": 38.7, ""watered"": true, ""canopy_height"": 7.54, ""canopy_density"": 0.766, ""phase"": ""light""}, {""day"": 25, ""temperature"": 19.9, ""humidity"": 47.0, ""watered"": true, ""canopy_height"": 7.76, ""canopy_density"": 0.764, ""phase"": ""light""}, {""day"": 26, ""temperature"": 23.7, ""humidity"": 34.6, ""watered"": false, ""canopy_height"": 5.65, ""canopy_density"": 0.755, ""phase"": ""light""}, {""day"": 27, ""temperature"": 19.7, ""humidity"": 49.1, ""watered"": true, ""canopy_height"": 7.62, ""canopy_density"": 0.804, ""phase"": ""light""}, {""day"": 28, ""temperature"": 20.3, ""humidity"": 47.8, ""watered"": true, ""canopy_height"": 6.98, ""canopy_density"": 0.787, ""phase"": ""light""}, {""day"": 29, ""temperature"": 23.6, ""humidity"": 47.0, ""watered"": true, ""canopy_height"": 7.48, ""canopy_density"": 0.854, ""phase"": ""light""}, {""day"": 30, ""temperature"": 24.2, ""humidity"": 68.2, ""watered"": true, ""canopy_height"": 6.4, ""canopy_density"": 0.791, ""phase"": ""light""}]"
chia-/-sabja,Chia / Sabja,Medium,150.0,8,22.0,50.0,21.19,46.3,1.99,11.45,0.75,1,2,2,24.8,17.5,61.7,25.0,4.74,0.632,3.26,0.457,68.2,0.455,"[{""day"": 1, ""temperature"": 17.5, ""humidity"": 59.7, ""watered"": true, ""canopy_height"": 1.17, ""canopy_density"": 0.149, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 19.4, ""humidity"": 48.0, ""watered"": true, ""canopy_height"": 1.35, ""canopy_density"": 0.245, ""phase"": ""blackout""}, {""day"": 3, ""temperature"": 24.8, ""humidity"": 41.3, ""watered"": true, ""canopy_height"": 2.04, ""canopy_density"": 0.255, ""phase"": ""light""}, {""day"": 4, ""temperature"": 21.0, ""humidity"": 44.1, ""watered"": true, ""canopy_height"": 3.69, ""canopy_density"": 0.555, ""phase"": ""light""}, {""day"": 5, ""temperature"": 21.6, ""humidity"": 61.7, ""watered"": true, ""canopy_height"": 4.73, ""canopy_density"": 0.642, ""phase"": ""light""}, {""day"": 6, ""temperature"": 19.3, ""humidity"": 25.0, ""watered"": false, ""canopy_height"": 3.87, ""canopy_density"": 0.569, ""phase"": ""light""}, {""day"": 7, ""temperature"": 23.5, ""humidity"": 59.6, ""watered"": true, ""canopy_height"": 4.5, ""canopy_density"": 0.609, ""phase"": ""light""}, {""day"": 8, ""temperature"": 22.4, ""humidity"": 31.0, ""watered"": false, ""canopy_height"": 4.74, ""canopy_density"": 0.632, ""phase"": ""light""}]"
broccoli,Broccoli,Medium,200.0,7,22.0,50.0,21.06,51.27,1.94,4.19,1.0,2,0,0,23.0,15.0,57.6,44.5,6.1,0.877,3.51,0.473,174.1,0.87,"[{""day"": 1, ""temperature"": 23.0, ""humidity"": 56.1, ""watered"": true, ""canopy_height"": 1.52, ""canopy_density"": 0.107, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 23.0, ""humidity"": 49.2, ""watered"": true, ""canopy_height"": 2.59, ""canopy_density"": 0.328, ""phase"": ""blackout""}, {""day"": 3, ""temperature"": 22.5, ""humidity"": 48.5, ""watered"": true, ""canopy_height"": 3.35, ""canopy_density"": 0.402, ""phase"": ""blackout""}, {""day"": 4, ""temperature"": 22.2, ""humidity"": 55.4, ""watered"": true, ""canopy_height"": 4.28, ""canopy_density"": 0.554, ""phase"": ""light""}, {""day"": 5, ""temperature"": 18.9, ""humidity"": 44.5, ""watered"": true, ""canopy_height"": 3.8, ""canopy_density"": 0.537, ""phase"": ""light""}, {""day"": 6, ""temperature"": 15.0, ""humidity"": 57.6, ""watered"": true, ""canopy_height"": 2.95, ""canopy_density"": 0.509, ""phase"": ""light""}, {""day"": 7, ""temperature"": 22.8, ""humidity"": 47.6, ""watered"": true, ""canopy_height"": 6.1, ""canopy_density"": 0.877, ""phase"": ""light""}]"
radish-purple,Radish (Purple),Medium,200.0,7,22.0,50.0,23.2,49.77,1.6,4.14,0.71,1,0,2,27.9,21.4,59.8,37.8,4.32,0.57,3.57,0.492,126.0,0.63,"[{""day"": 1, ""temperature"": 21.7, ""humidity"": 49.9, ""watered"": true, ""canopy_height"": 1.62, ""canopy_density"": 0.291, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 21.4, ""humidity"": 53.4, ""watered"": true, ""canopy_height"": 2.41, ""canopy_density"": 0.353, ""phase"": ""light""}, {""day"": 3, ""temperature"": 21.6, ""humidity"": 49.9, ""watered"": true, ""canopy_height"": 3.61, ""canopy_density"": 0.466, ""phase"": ""light""}, {""day"": 4, ""temperature"": 24.2, ""humidity"": 37.8, ""watered"": false, ""canopy_height"": 2.46, ""canopy_density"": 0.292, ""phase"": ""light""}, {""day"": 5, ""temperature"": 23.7, ""humidity"": 47.1, ""watered"": true, ""canopy_height"": 5.01, ""canopy_density"": 0.644, ""phase"": ""light""}, {""day"": 6, ""temperature"": 21.9, ""humidity"": 50.5, ""watered"": true, ""canopy_height"": 5.54, ""canopy_density"": 0.829, ""phase"": ""light""}, {""day"": 7, ""temperature"": 27.9, ""humidity"": 59.8, ""watered"": false, ""canopy_height"": 4.32, ""canopy_density"": 0.57, ""phase"": ""light""}]"
mixed-grams,Mixed Grams,Medium,350.0,5,22.0,50.0,23.32,55.22,2.68,8.14,0.8,1,1,1,28.4,19.3,68.9,44.0,5.37,0.705,3.54,0.496,323.2,0.923,"[{""day"": 1, ""temperature"": 28.4, ""humidity"": 51.4, ""watered"": false, ""canopy_height"": 1.44, ""canopy_density"": 0.234, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 24.9, ""humidity"": 63.1, ""watered"": true, ""canopy_height"": 2.2, ""canopy_density"": 0.278, ""phase"": ""blackout""}, {""day"": 3, ""temperature"": 21.3, ""humidity"": 44.0, ""watered"": true, ""canopy_height"": 4.06, ""canopy_density"": 0.513, ""phase"": ""light""}, {""day"": 4, ""temperature"": 19.3, ""humidity"": 68.9, ""watered"": true, ""canopy_height"": 4.63, ""canopy_density"": 0.751, ""phase"": ""light""}, {""day"": 5, ""temperature"": 22.7, ""humidity"": 48.7, ""watered"": true, ""canopy_height"": 5.37, ""canopy_density"": 0.705, ""phase"": ""light""}]"
bean-greens,Bean Greens,Medium,150.0,30,22.0,50.0,22.26,50.24,0.86,3.86,0.97,0,0,1,24.8,19.7,60.6,38.5,7.45,0.818,3.72,0.521,96.9,0.646,"[{""day"": 1, ""temperature"": 23.3, ""humidity"": 54.5, ""watered"": true, ""canopy_height"": 0.34, ""canopy_density"": 0.21, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 21.3, ""humidity"": 45.3, ""watered"": true, ""canopy_height"": 0.1, ""canopy_density"": 0.05, ""phase"": ""blackout""}, {""day"": 3, ""temperature"": 21.4, ""humidity"": 50.6, ""watered"": true, ""canopy_height"": 0.31, ""canopy_density"": 0.268, ""phase"": ""blackout""}, {""day"": 4, ""temperature"": 23.8, ""humidity"": 50.4, ""watered"": true, ""canopy_height"": 0.1, ""canopy_density"": 0.228, ""phase"": ""blackout""}, {""day"": 5, ""temperature"": 21.5, ""humidity"": 48.5, ""watered"": true, ""canopy_height"": 0.1, ""canopy_density"": 0.282, ""phase"": ""light""}, {""day"": 6, ""temperature"": 22.6, ""humidity"": 50.0, ""watered"": true, ""canopy_height"": 0.22, ""canopy_density"": 0.284, ""phase"": ""light""}, {""day"": 7, ""temperature"": 23.4, ""humidity"": 50.0, ""watered"": true, ""canopy_height"": 0.1, ""canopy_density"": 0.325, ""phase"": ""light""}, {""day"": 8, ""temperature"": 21.8, ""humidity"": 50.4, ""watered"": true, ""canopy_height"": 0.1, ""canopy_density"": 0.367, ""phase"": ""light""}, {""day"": 9, ""temperature"": 20.0, ""humidity"": 53.3, ""watered"": true, ""canopy_height"": 0.19, ""canopy_density"": 0.33, ""phase"": ""light""}, {""day"": 10, ""temperature"": 22.1, ""humidity"": 56.8, ""watered"": true, ""canopy_height"": 0.31, ""canopy_density"": 0.463, ""phase"": ""light""}, {""day"": 11, ""temperature"": 19.7, ""humidity"": 55.0, ""watered"": true, ""canopy_height"": 0.65, ""canopy_density"": 0.344, ""phase"": ""light""}, {""day"": 12, ""temperature"": 22.5, ""humidity"": 41.8, ""watered"": true, ""canopy_height"": 1.39, ""canopy_density"": 0.469, ""phase"": ""light""}, {""day"": 13, ""temperature"": 23.4, ""humidity"": 47.3, ""watered"": true, ""canopy_height"": 1.95, ""canopy_density"": 0.448, ""phase"": ""light""}, {""day"": 14, ""temperature"": 24.8, ""humidity"": 60.6, ""watered"": true, ""canopy_height"": 2.79, ""canopy_density"": 0.474, ""phase"": ""light""}, {""day"": 15, ""temperature"": 21.6, ""humidity"": 50.9, ""watered"": true, ""canopy_height"": 3.81, ""canopy_density"": 0.455, ""phase"": ""light""}, {""day"": 16, ""temperature"": 22.1, ""humidity"": 46.5, ""watered"": false, ""canopy_height"": 4.0, ""canopy_density"": 0.56, ""phase"": ""light""}, {""day"": 17, ""temperature"": 22.3, ""humidity"": 51.4, ""watered"": true, ""canopy_height"": 5.22, ""canopy_density"": 0.544, ""phase"": ""light""}, {""day"": 18, ""temperature"": 22.7, ""humidity"": 38.5, ""watered"": true, ""canopy_height"": 6.08, ""canopy_density"": 0.494, ""phase"": ""light""}, {""day"": 19, ""temperature"": 22.4, ""humidity"": 50.2, ""watered"": true, ""canopy_height"": 6.27, ""canopy_density"": 0.615, ""phase"": ""light""}, {""day"": 20, ""temperature"": 22.2, ""humidity"": 52.8, ""watered"": true, ""canopy_height"": 6.34, ""canopy_density"": 0.627, ""phase"": ""light""}, {""day"": 21, ""temperature"": 20.7, ""humidity"": 55.3, ""watered"": true, ""canopy_height"": 7.07, ""canopy_density"": 0.701, ""phase"": ""light""}, {""day"": 22, ""temperature"": 22.3, ""humidity"": 49.0, ""watered"": true, ""canopy_height"": 6.67, ""canopy_density"": 0.673, ""phase"": ""light""}, {""day"": 23, ""temperature"": 21.5, ""humidity"": 47.1, ""watered"": true, ""canopy_height"": 6.97, ""canopy_density"": 0.686, ""phase"": ""light""}, {""day"": 24, ""temperature"": 22.5, ""humidity"": 44.9, ""watered"": true, ""canopy_height"": 7.37, ""canopy_density"": 0.777, ""phase"": ""light""}, {""day"": 25, ""temperature"": 23.1, ""humidity"": 53.5, ""watered"": true, ""canopy_height"": 7.4, ""canopy_density"": 0.838, ""phase"": ""light""}, {""day"": 26, ""temperature"": 22.6, ""humidity"": 39.5, ""watered"": true, ""canopy_height"": 7.11, ""canopy_density"": 0.764, ""phase"": ""light""}, {""day"": 27, ""temperature"": 22.6, ""humidity"": 57.3, ""watered"": true, ""canopy_height"": 7.01, ""canopy_density"": 0.842, ""phase"": ""light""}, {""day"": 28, ""temperature"": 22.9, ""humidity"": 54.8, ""watered"": true, ""canopy_height"": 7.17, ""canopy_density"": 0.793, ""phase"": ""light""}, {""day"": 29, ""temperature"": 21.4, ""humidity"": 53.6, ""watered"": true, ""canopy_height"": 6.96, ""canopy_density"": 0.889, ""phase"": ""light""}, {""day"": 30, ""temperature"": 23.2, ""humidity"": 47.3, ""watered"": true, ""canopy_height"": 7.45, ""canopy_density"": 0.818, ""phase"": ""light""}]"
cow-pea,Cow Pea,Medium,400.0,7,22.0,50.0,22.53,50.31,1.99,3.51,1.0,2,0,0,25.2,17.3,60.0,45.7,6.65,0.982,4.02,0.556,390.0,0.975,"[{""day"": 1, ""temperature"": 17.3, ""humidity"": 60.0, ""watered"": true, ""canopy_height"": 1.0, ""canopy_density"": 0.02, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 25.2, ""humidity"": 53.4, ""watered"": true, ""canopy_height"": 2.23, ""canopy_density"": 0.286, ""phase"": ""blackout""}, {""day"": 3, ""temperature"": 22.9, ""humidity"": 49.1, ""watered"": true, ""canopy_height"": 3.01, ""canopy_density"": 0.471, ""phase"": ""blackout""}, {""day"": 4, ""temperature"": 24.3, ""humidity"": 48.1, ""watered"": true, ""canopy_height"": 4.04, ""canopy_density"": 0.607, ""phase"": ""light""}, {""day"": 5, ""temperature"": 21.6, ""humidity"": 48.5, ""watered"": true, ""canopy_height"": 5.23, ""canopy_density"": 0.772, ""phase"": ""light""}, {""day"": 6, ""temperature"": 24.2, ""humidity"": 47.4, ""watered"": true, ""canopy_height"": 5.99, ""canopy_density"": 0.754, ""phase"": ""light""}, {""day"": 7, ""temperature"": 22.2, ""humidity"": 45.7, ""watered"": true, ""canopy_height"": 6.65, ""canopy_density"": 0.982, ""phase"": ""light""}]"
chickpea,Chickpea,Medium,250.0,7,22.0,50.0,22.04,42.09,3.04,10.03,0.71,3,3,2,28.0,17.3,55.1,25.0,4.43,0.709,3.22,0.447,179.7,0.719,"[{""day"": 1, ""temperature"": 20.0, ""humidity"": 33.5, ""watered"": true, ""canopy_height"": 1.41, ""canopy_density"": 0.159, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 19.5, ""humidity"": 52.3, ""watered"": false, ""canopy_height"": 1.89, ""canopy_density"": 0.313, ""phase"": ""blackout""}, {""day"": 3, ""temperature"": 21.1, ""humidity"": 25.0, ""watered"": true, ""canopy_height"": 2.12, ""canopy_density"": 0.28, ""phase"": ""blackout""}, {""day"": 4, ""temperature"": 26.8, ""humidity"": 47.3, ""watered"": true, ""canopy_height"": 3.29, ""canopy_density"": 0.52, ""phase"": ""blackout""}, {""day"": 5, ""temperature"": 21.6, ""humidity"": 46.6, ""watered"": true, ""canopy_height"": 5.51, ""canopy_density"": 0.655, ""phase"": ""blackout""}, {""day"": 6, ""temperature"": 28.0, ""humidity"": 34.8, ""watered"": true, ""canopy_height"": 3.92, ""canopy_density"": 0.492, ""phase"": ""blackout""}, {""day"": 7, ""temperature"": 17.3, ""humidity"": 55.1, ""watered"": false, ""canopy_height"": 4.43, ""canopy_density"": 0.709, ""phase"": ""blackout""}]"
