image_path,xmin,ymin,xmax,ymax,label
create_a_image_of_microgreens_ (6)_jpeg.rf.c2KDOkKtpO7TZdi5i2BJ.jpeg,174,291,201,312,plant
create_a_image_of_microgreens_ (4)_jpeg.rf.RO6n0QUfBt7D9KwwbXyt.jpeg,139,367,158,392,plant
create_a_image_of_microgreens_ (17)_jpeg.rf.KjnfKsK5GEy52qsIlXVK.jpeg,480,388,506,413,plant
create_a_image_of_microgreens_ (15)_jpeg.rf.7XKrOuVEdbMsD1wncA31.jpeg,348,215,367,239,plant
aesthetic_11_anthro_art_style_ (3)_jpeg.rf.svKblndkmjRtFS20wGeF.jpeg,151,482,204,536,plant
aesthetic_11_anthro_art_style_ (3)_jpeg.rf.svKblndkmjRtFS20wGeF.jpeg,448,422,502,474,plant
create_a_image_of_microgreens__jpeg.rf.f1Yy529wLiL7AtJT2OIg.jpeg,135,351,171,384,plant
aesthetic_11_anthro_art_style_ (1)_jpeg.rf.PsWcp53YnyQ7Ubgu7lSD.jpeg,394,485,428,520,plant
create_a_image_of_microgreens_ (7)_jpeg.rf.jkLFLdoHi1VjM7emWqfw.jpeg,215,462,251,495,plant
create_a_image_of_microgreens_ (5)_jpeg.rf.cnvdmfRCWkCQRPYMDBnr.jpeg,392,241,419,265,plant
000066_jpg.rf.VdngCGpc5KNb9hzgRpnt.jpg,218,238,267,273,plant
download (2)_jpeg.rf.PP0TlqQ3Jyjxqxiq1gH9.jpeg,364,428,403,464,plant
m5_jpeg_jpeg.rf.4vs2wmChlZbpqjgxQwmA.jpeg,110,4,121,13,plant
download (4)_jpeg.rf.Lwh4GzuuGTYt8YbpYdNS.jpeg,56,316,91,352,plant
top_down_view_of_the_tray_of_m_jpeg.rf.pc096rdVxuvB7mVN6y1R.jpeg,280,120,306,144,plant
create_a_image_of_microgreens_ (19)_jpeg.rf.7SFqNCoYLXxOeFJuMQtc.jpeg,310,130,353,181,plant
m6_jpeg_jpeg.rf.CS1mg8YoyHMBzPvlPvTx.jpeg,101,141,108,147,plant
create_a_image_of_microgreens__jpeg.rf.f1Yy529wLiL7AtJT2OIg.jpeg,392,311,425,334,plant
create_a_image_of_microgreens_ (19)_jpeg.rf.7SFqNCoYLXxOeFJuMQtc.jpeg,231,333,256,358,plant
create_a_image_of_microgreens_ (4)_jpeg.rf.RO6n0QUfBt7D9KwwbXyt.jpeg,237,381,277,412,plant
create_a_image_of_microgreens_ (7)_jpeg.rf.jkLFLdoHi1VjM7emWqfw.jpeg,97,43,131,79,plant
top_down_view_of_the_tray_of_m (3)_jpeg.rf.KKBnKn108LZQTNQCq89x.jpeg,409,383,440,413,plant
m6_jpeg_jpeg.rf.CS1mg8YoyHMBzPvlPvTx.jpeg,50,20,66,36,plant
create_a_image_of_microgreens_ (4)_jpeg.rf.RO6n0QUfBt7D9KwwbXyt.jpeg,100,113,137,140,plant
000017_jpg.rf.CpHKbYXM7FZpv5gfopDJ.jpg,868,398,922,430,plant
