image_path,xmin,ymin,xmax,ymax,label
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,112,245,138,268,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,157,176,179,200,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,227,140,254,157,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,119,152,148,176,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,296,176,320,200,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,279,312,308,331,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,259,195,281,216,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,282,257,307,282,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,181,180,214,210,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,161,151,187,177,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,125,176,148,199,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,411,175,435,194,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,282,85,305,112,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,222,175,242,194,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,256,93,273,112,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,371,175,398,200,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,155,174,218,237,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,306,279,333,301,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,81,232,137,291,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,83,167,108,198,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,162,338,186,361,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,235,77,262,95,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,377,89,406,111,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,143,105,155,135,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,409,159,439,185,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,269,332,297,355,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,337,122,360,147,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,164,271,196,300,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,118,328,141,352,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,86,227,109,257,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,193,78,212,97,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,268,115,293,133,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,360,310,392,339,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,259,217,289,243,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,190,323,218,339,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,307,185,330,203,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,241,322,266,342,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,310,75,335,101,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,284,417,305,438,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,320,380,360,406,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,365,233,392,258,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,341,287,371,313,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,174,317,200,341,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,81,116,114,149,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,94,155,118,172,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,359,208,435,308,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,193,280,220,301,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,201,409,231,437,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,354,154,372,172,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,77,282,102,304,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,406,69,428,87,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,136,87,158,104,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,365,405,390,425,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,144,219,177,249,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,235,63,263,83,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,418,236,438,261,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,83,322,116,351,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,302,421,328,444,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,258,392,285,419,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,192,250,223,270,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,187,121,210,140,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,147,389,174,413,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,338,78,365,106,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,311,329,344,359,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,223,216,257,243,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,335,349,373,383,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,138,246,172,276,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,114,61,140,87,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,367,128,396,154,plant
create_a_image_of_microgreens_ (1)_jpeg.rf.1qS1Zo0N1NgCveq7wEG2.jpeg,149,427,177,449,plant
