epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5507,2.85555,3.96988,1.78998,0.0083,0.01774,0.00423,0.00155,1.91106,3.89912,1.3386,8.335e-05,8.335e-05,8.335e-05
2,25.8228,2.40705,3.80164,1.63531,0.02734,0.05432,0.01476,0.00578,1.86645,3.8258,1.229,0.000181555,0.000181555,0.000181555
3,36.3407,2.15888,3.57941,1.42875,0.0455,0.08093,0.02691,0.01231,2.00445,3.68009,1.17049,0.000277779,0.000277779,0.000277779
4,47.3698,2.28086,3.24969,1.32622,0.02592,0.04989,0.01602,0.00566,2.00734,3.49456,1.17737,0.000372023,0.000372023,0.000372023
5,58.6204,2.23571,2.75572,1.26872,0.04603,0.09812,0.04262,0.01769,1.97217,3.27911,1.16664,0.000464286,0.000464286,0.000464286
6,69.6397,1.98805,2.49925,1.24306,0.14141,0.45621,0.26093,0.11815,1.9662,2.88501,1.15583,0.000554569,0.000554569,0.000554569
7,80.2787,2.03638,2.27922,1.20815,0.52903,0.29656,0.32406,0.1508,1.9479,2.32698,1.15308,0.000642872,0.000642872,0.000642872
8,91.5197,2.10391,2.31463,1.29636,0.52903,0.29656,0.32406,0.1508,1.9479,2.32698,1.15308,0.000729194,0.000729194,0.000729194
9,102.636,2.01803,2.21259,1.24494,0.42188,0.37084,0.33145,0.15198,1.92984,1.81394,1.15679,0.000813536,0.000813536,0.000813536
10,113.391,1.9878,2.07335,1.17881,0.46047,0.41962,0.3818,0.20558,1.84726,1.6573,1.1509,0.000895897,0.000895897,0.000895897
11,124.339,2.43133,2.15179,1.30916,0.46047,0.41962,0.3818,0.20558,1.84726,1.6573,1.1509,0.000976279,0.000976279,0.000976279
12,135.335,2.17603,2.13251,1.245,0.46276,0.42239,0.38298,0.21312,1.7984,1.93703,1.15128,0.00105468,0.00105468,0.00105468
13,146.886,1.92627,1.88538,1.15882,0.46276,0.42239,0.38298,0.21312,1.7984,1.93703,1.15128,0.0011311,0.0011311,0.0011311
14,157.958,2.05256,1.87536,1.22727,0.46276,0.42239,0.38298,0.21312,1.7984,1.93703,1.15128,0.00120554,0.00120554,0.00120554
15,170.825,2.18527,1.97616,1.23656,0.48089,0.45177,0.41196,0.22586,1.77465,2.25782,1.13795,0.001278,0.001278,0.001278
16,183.924,2.15175,1.88197,1.20121,0.48089,0.45177,0.41196,0.22586,1.77465,2.25782,1.13795,0.00134848,0.00134848,0.00134848
17,195.896,2.1067,1.9261,1.22725,0.42647,0.45344,0.39194,0.2073,1.80204,2.91356,1.13125,0.00140295,0.00140295,0.00140295
18,208.174,2.22793,1.94568,1.23968,0.42647,0.45344,0.39194,0.2073,1.80204,2.91356,1.13125,0.00138644,0.00138644,0.00138644
19,219.553,1.9942,1.81173,1.22262,0.42647,0.45344,0.39194,0.2073,1.80204,2.91356,1.13125,0.00136994,0.00136994,0.00136994
20,230.779,2.25428,1.95056,1.2713,0.47103,0.46785,0.43048,0.24319,1.72638,2.42319,1.12767,0.00135344,0.00135344,0.00135344
21,242.716,2.36852,1.98646,1.26085,0.47103,0.46785,0.43048,0.24319,1.72638,2.42319,1.12767,0.00133693,0.00133693,0.00133693
22,254.064,1.98123,1.86506,1.18385,0.47103,0.46785,0.43048,0.24319,1.72638,2.42319,1.12767,0.00132043,0.00132043,0.00132043
23,265.895,2.02367,1.81277,1.20744,0.48828,0.46969,0.44284,0.247,1.70862,2.39177,1.10905,0.00130393,0.00130393,0.00130393
24,277.398,2.07232,1.79097,1.16518,0.48828,0.46969,0.44284,0.247,1.70862,2.39177,1.10905,0.00128742,0.00128742,0.00128742
25,309.048,1.83203,1.82049,1.113,0.50623,0.49224,0.46401,0.26158,1.65897,2.49935,1.08537,0.00127092,0.00127092,0.00127092
26,339.53,1.97013,1.8533,1.19288,0.50623,0.49224,0.46401,0.26158,1.65897,2.49935,1.08537,0.00125442,0.00125442,0.00125442
27,350.279,1.944,1.74317,1.17356,0.50623,0.49224,0.46401,0.26158,1.65897,2.49935,1.08537,0.00123791,0.00123791,0.00123791
28,361.255,1.98078,1.76903,1.18341,0.56337,0.48921,0.50385,0.28359,1.66994,1.78914,1.09188,0.00122141,0.00122141,0.00122141
29,371.765,1.97203,1.6723,1.22512,0.56337,0.48921,0.50385,0.28359,1.66994,1.78914,1.09188,0.00120491,0.00120491,0.00120491
30,382.716,1.97461,1.68127,1.16512,0.56337,0.48921,0.50385,0.28359,1.66994,1.78914,1.09188,0.0011884,0.0011884,0.0011884
