variety,latin_name,certification,seed_category,difficulty_level,seed_count_per_gram,sow_density_10x20_tray_g,sprout_in_low_temp,soaking,watering,blackout_time_days,germination_days,growth_period_days,total_growing_time_days,light_requirement,planting,fertilizer,light_exposure,taste,stem_color,leaf_color,nutrition_benefits,source_url
Amaranth Red,Amaranthus tricolor,Conventional Seeds,Microgreens Seeds,Medium- Difficult,1500 seeds,16,No,No,Rare,3-4 days,,,15-16 days,,,,,"Mild, slightly nutty",Red-pink,Red,"C, E, K, Ca, Fe",https://mpseeds.eu/amaranth-red-microgreens-seeds
Borage Violet,Borago officinalis L.,Conventional Seeds,Microgreens Seeds,Medium,50 seeds,70,Yes,No,Rare,4-5 days,,,14-17 days,,,,,Cucumber,Light Green,Light Green,"B, C, K",https://mpseeds.eu/borage-violet-microgreens-seeds
Broccoli Calabrese,Brassica oleracea,Conventional Seeds,Microgreens Seeds,Easy,200 seeds,50,Yes,No,Moderate,3-4 days,,,9-10 days,,,,,Cabbage,White,Green,"A, B1, B2, C, Ca, Fe, Mg, P",https://mpseeds.eu/broccoli-calabrese-microgreens-seeds
Cabbage Red,Brassica oleracea,Conventional Seeds,Microgreens Seeds,Medium,250 seeds,45,Yes,No,Rare,2-3 days,,,7-9 days,,,,,Cabbage,Pink,Deep Red and Green,"C, K, Ca, I, Mg, S",https://mpseeds.eu/cabbage-red-microgreens-seeds
"Cilantro, Coriander Split",Coriandrum sativum,Conventional seeds,Microgreens Seeds,Medium,80 seeds,34,No,No,Rare,5-6 days,,,19-20 days,,,,,Citrusy,Green,Green,"C, E, K",https://mpseeds.eu/cilantro-coriander-split-microgreens-seeds
Cress,Lepidium sativum,Conventional Seeds,Microgreens Seeds,Easy,450 seeds,32,Yes,No,Moderate,2 days,,,7 days,,,,,"Fresh, Spicy",White,Green,"A, B3, E, K,Ca, Fe, Mg, P",https://mpseeds.eu/cress-microgreens-seeds
Kohlrabi Red,Brassica oleracea acephala gongylodes,Conventional Seeds,Microgreens Seeds,,250 seeds,28,Yes,No,Moderate,3 days,,,7 days,,,,,light cabbage taste,Purple,Deep Green Violet,"C, B6, Ca, Fe",https://mpseeds.eu/kohlrabi-red-microgreens-seeds
Lupine,Lupinus Lutus,Conventional Seeds,Microgreens Seeds,Medium,4 seeds,230,Yes,Yes,Moderate,3-5 days,,,10-12 days,,,,,Umami Mild Nutty Sweet,Light Green to Rose,Green,"A, Beta Caroten",https://mpseeds.eu/lupine-microgreens-seeds
Nasturtium Empress Of India,Tropaeolum majus nanum,Conventional Seeds,Microgreens Seeds,Medium,8 seeds,200,No,Yes,Rare,7 days,,,14-17 days,,,,,"Cooling, Spicy",Light Green,Green,"A, B, C",https://mpseeds.eu/nasturtium-empress-of-india-microgreens-seeds
Pea Foxy,Pisum sativum,Conventional Seeds,Microgreens Seeds,Medium,13 seeds,250,Yes,Yes,Frequent,3-4 days,,,9-11 days,,,,,"Fresh, Slightly nutty and sweet",Green,Green,"A, C, B12",https://mpseeds.eu/pea-foxy-microgreens-seeds
