epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.45644,2.74139,3.93285,1.86636,0.00364,0.00747,0.00183,0.00089,2.01686,3.91742,1.51293,3.334e-05,3.334e-05,3.334e-05
2,8.55986,2.70899,3.90136,1.82772,0.01693,0.03415,0.00876,0.00262,1.88945,3.89144,1.4054,8.25248e-05,8.25248e-05,8.25248e-05
3,12.3163,2.44966,3.83582,1.62512,0.0308,0.0619,0.01643,0.00651,1.81173,3.86276,1.32964,0.000130719,0.000130719,0.000130719
4,16.0872,2.31148,3.73095,1.55176,0.05255,0.10459,0.02909,0.01087,1.80252,3.81911,1.26977,0.000177924,0.000177924,0.000177924
5,19.6874,2.1804,3.57367,1.54138,0.07974,0.16009,0.04638,0.02059,1.7934,3.7535,1.21868,0.000224138,0.000224138,0.000224138
6,23.8007,2.25758,3.46999,1.45122,0.08744,0.16862,0.0517,0.02462,1.79534,3.68574,1.18404,0.000269362,0.000269362,0.000269362
7,27.877,2.2879,3.44512,1.53051,0.09551,0.17716,0.05774,0.02804,1.79318,3.59432,1.15595,0.000313596,0.000313596,0.000313596
8,31.4675,2.04428,3.13608,1.36476,0.08221,0.14301,0.05159,0.02532,1.77162,3.483,1.15194,0.00035684,0.00035684,0.00035684
9,35.1277,2.23098,2.93188,1.3709,0.08221,0.14301,0.05159,0.02532,1.77162,3.483,1.15194,0.000399093,0.000399093,0.000399093
10,38.7777,2.00077,2.63039,1.28358,0.12143,0.19957,0.13038,0.06428,1.80818,3.28268,1.16633,0.000440356,0.000440356,0.000440356
11,42.6234,2.23929,2.6077,1.34146,0.12143,0.19957,0.13038,0.06428,1.80818,3.28268,1.16633,0.000480629,0.000480629,0.000480629
12,46.4608,1.87968,2.60603,1.31692,0.2198,0.52828,0.3713,0.17389,1.8582,2.94069,1.18898,0.000519912,0.000519912,0.000519912
13,50.1761,2.12267,2.33849,1.28237,0.2198,0.52828,0.3713,0.17389,1.8582,2.94069,1.18898,0.000558205,0.000558205,0.000558205
14,54.0644,2.16558,2.48334,1.34037,0.63576,0.29059,0.39749,0.18986,1.84776,2.49798,1.18548,0.000595507,0.000595507,0.000595507
15,57.9011,2.02493,2.32528,1.25609,0.63576,0.29059,0.39749,0.18986,1.84776,2.49798,1.18548,0.00063182,0.00063182,0.00063182
16,61.6471,1.95609,2.4753,1.33972,0.63576,0.29059,0.39749,0.18986,1.84776,2.49798,1.18548,0.000667142,0.000667142,0.000667142
17,65.3583,1.83026,1.98072,1.18813,0.54343,0.38997,0.40705,0.18369,1.83666,2.1653,1.17741,0.000701474,0.000701474,0.000701474
18,69.2769,2.0346,2.30295,1.30323,0.54343,0.38997,0.40705,0.18369,1.83666,2.1653,1.17741,0.000734815,0.000734815,0.000734815
19,72.9795,2.05949,2.13831,1.27961,0.54343,0.38997,0.40705,0.18369,1.83666,2.1653,1.17741,0.000767167,0.000767167,0.000767167
20,76.7795,1.96382,1.99304,1.19589,0.51633,0.45784,0.44392,0.21922,1.84945,1.87134,1.20557,0.000798528,0.000798528,0.000798528
21,80.5834,1.96085,2.01894,1.24677,0.51633,0.45784,0.44392,0.21922,1.84945,1.87134,1.20557,0.000828899,0.000828899,0.000828899
22,84.2558,1.94281,1.90199,1.21845,0.51633,0.45784,0.44392,0.21922,1.84945,1.87134,1.20557,0.00085828,0.00085828,0.00085828
